"xmin","ymin","xmax","ymax"
-18.5327818486906,10.0252770940871,-14.5,25.1546500194575
-16.5,7.19500009145123,-12,28.8256879439119
-14,5.18342761845633,-9.5,30.0462589309395
-11.5,3.51640247588897,-7,34.4676757572505
-9,3.34360908786434,-4.5,36.8827358403793
-6.5,4.0549059764324,-2,36.9177501172701
-4,3.72708208822149,0.5,36.8095747361158
-1.5,4.36856981165062,3,37.5702731178778
1,5.28432631731585,5.5,37.9147181181986
3.5,3.27284508779852,8,38.0898541183617
6,-3.12995404185152,10.5,38.2823726067761
8.5,-19.4185839067783,13,38.340409118595
11,-25.2266724066657,15.5,33.9991496673206
13.5,-30.5164550031719,18,33.5088556178661
16,-35.6660916090021,20.5,32.1632412843356
18.5,-35.8214179486109,23,33.9444451145009
21,-35.1995684685187,25.5,33.9142731144729
23.5,-35.2016639480337,28,33.0254091136451
26,-34.5683933448538,30.5,32.4120084302439
28.5,-32.6595046573814,33,32.6016641132504
31,-29.8753998637075,35.5,32.4275483734298
33.5,-25.8504666242705,38,31
36,-18.9918990430916,40.5,22.4317902232707
38.5,-17.6564767970741,43,16.8853545986134
41,-26.2825582134669,45.5,14.8062830603538
43.5,-26.588335940012,48,11.9438339395852
46,-26.0214605818971,50.5,12.3811749501739
48.5,-18.7752528360695,52.4113182155186,12.9791640949755
